parents,has_nurs,form,children,housing,finance,social,health
great_pret,less_proper,incomplete,missing,critical,convenient,problematic,not_recom
great_pret,less_proper,missing,more,missing,inconv,missing,not_recom
pretentious,proper,complete,3,critical,inconv,problematic,priority
pretentious,very_crit,complete,missing,convenient,convenient,nonprob,priority
great_pret,missing,complete,3,critical,convenient,problematic,not_recom
great_pret,improper,complete,1,convenient,missing,missing,priority
usual,critical,completed,2,critical,convenient,problematic,recommended
great_pret,less_proper,missing,1,less_conv,convenient,slightly_prob,recommended
great_pret,very_crit,missing,more,critical,convenient,problematic,recommended
usual,improper,foster,1,convenient,inconv,problematic,not_recom
pretentious,very_crit,missing,more,convenient,inconv,problematic,recommended
usual,missing,foster,missing,less_conv,inconv,missing,missing
great_pret,critical,incomplete,2,critical,convenient,slightly_prob,not_recom
great_pret,less_proper,completed,1,critical,missing,missing,not_recom
great_pret,less_proper,missing,2,less_conv,inconv,nonprob,priority
missing,critical,missing,missing,less_conv,inconv,slightly_prob,not_recom
pretentious,less_proper,complete,2,missing,convenient,slightly_prob,priority
great_pret,less_proper,incomplete,2,missing,missing,slightly_prob,not_recom
missing,proper,missing,1,missing,convenient,nonprob,not_recom
pretentious,less_proper,completed,more,critical,inconv,missing,not_recom
usual,very_crit,missing,2,convenient,inconv,problematic,not_recom
pretentious,very_crit,complete,3,critical,inconv,missing,not_recom
pretentious,proper,completed,1,less_conv,convenient,nonprob,priority
great_pret,missing,missing,2,critical,missing,slightly_prob,recommended
pretentious,less_proper,incomplete,1,convenient,convenient,problematic,recommended
pretentious,less_proper,foster,missing,less_conv,convenient,problematic,priority
missing,critical,complete,3,convenient,convenient,slightly_prob,recommended
missing,critical,completed,1,missing,missing,problematic,priority
pretentious,improper,complete,3,convenient,convenient,problematic,recommended
great_pret,critical,incomplete,missing,missing,convenient,problematic,priority
pretentious,missing,incomplete,1,convenient,convenient,problematic,priority
great_pret,proper,incomplete,3,missing,missing,slightly_prob,recommended
pretentious,improper,missing,1,less_conv,inconv,problematic,priority
missing,improper,incomplete,2,convenient,convenient,nonprob,missing
missing,very_crit,completed,3,critical,convenient,nonprob,recommended
usual,missing,completed,2,less_conv,convenient,nonprob,recommended
usual,very_crit,missing,3,less_conv,missing,problematic,recommended
missing,very_crit,complete,2,less_conv,convenient,problematic,not_recom
pretentious,proper,complete,2,critical,convenient,problematic,not_recom
pretentious,very_crit,completed,missing,convenient,convenient,nonprob,not_recom
great_pret,less_proper,foster,1,critical,inconv,problematic,not_recom
pretentious,missing,missing,missing,missing,convenient,nonprob,missing
usual,proper,foster,1,missing,inconv,missing,priority
great_pret,critical,missing,more,less_conv,missing,nonprob,not_recom
great_pret,missing,completed,missing,critical,missing,nonprob,priority
pretentious,missing,incomplete,3,critical,convenient,missing,not_recom
great_pret,missing,foster,1,critical,inconv,slightly_prob,priority
great_pret,very_crit,foster,missing,missing,inconv,problematic,recommended
pretentious,proper,missing,3,convenient,missing,missing,priority
pretentious,improper,foster,missing,convenient,inconv,problematic,not_recom
great_pret,less_proper,completed,3,critical,missing,slightly_prob,recommended
missing,very_crit,incomplete,2,convenient,convenient,slightly_prob,priority
missing,missing,complete,2,convenient,convenient,slightly_prob,not_recom
pretentious,proper,missing,missing,convenient,convenient,problematic,not_recom
great_pret,less_proper,incomplete,3,convenient,missing,missing,recommended
usual,very_crit,missing,missing,convenient,inconv,missing,not_recom
great_pret,proper,completed,more,convenient,convenient,problematic,missing
usual,proper,foster,missing,critical,inconv,slightly_prob,not_recom
usual,missing,incomplete,more,missing,convenient,slightly_prob,recommended
great_pret,very_crit,complete,more,convenient,inconv,nonprob,recommended
great_pret,very_crit,missing,more,critical,missing,slightly_prob,recommended
pretentious,improper,complete,3,less_conv,inconv,missing,priority
usual,missing,complete,3,convenient,convenient,missing,not_recom
great_pret,missing,foster,2,less_conv,inconv,problematic,priority
pretentious,critical,incomplete,3,missing,convenient,problematic,missing
usual,missing,complete,1,convenient,convenient,problematic,recommended
great_pret,critical,foster,2,critical,convenient,slightly_prob,not_recom
great_pret,improper,missing,3,critical,missing,slightly_prob,priority
usual,critical,missing,3,missing,inconv,nonprob,priority
great_pret,missing,incomplete,2,convenient,convenient,problematic,missing
pretentious,proper,missing,more,critical,inconv,problematic,recommended
pretentious,missing,complete,2,less_conv,convenient,nonprob,recommended
usual,very_crit,completed,3,convenient,inconv,problematic,priority
pretentious,critical,completed,3,less_conv,missing,slightly_prob,missing
pretentious,very_crit,foster,1,convenient,inconv,missing,missing
missing,missing,incomplete,missing,convenient,inconv,problematic,missing
pretentious,critical,incomplete,3,less_conv,inconv,nonprob,recommended
usual,critical,foster,2,convenient,inconv,missing,not_recom
great_pret,critical,incomplete,3,convenient,missing,problematic,not_recom
missing,critical,foster,more,convenient,inconv,problematic,priority
missing,critical,foster,3,convenient,missing,missing,not_recom
usual,less_proper,completed,3,missing,missing,problematic,not_recom
usual,less_proper,foster,1,critical,missing,missing,not_recom
pretentious,critical,foster,more,critical,inconv,nonprob,not_recom
pretentious,critical,missing,3,critical,convenient,nonprob,recommended
great_pret,critical,incomplete,2,less_conv,convenient,nonprob,missing
great_pret,very_crit,completed,more,critical,inconv,slightly_prob,missing
usual,critical,incomplete,3,critical,inconv,slightly_prob,recommended
pretentious,missing,missing,1,missing,missing,problematic,priority
great_pret,very_crit,foster,more,less_conv,inconv,nonprob,recommended
missing,less_proper,completed,3,critical,missing,nonprob,priority
great_pret,less_proper,incomplete,2,convenient,inconv,slightly_prob,priority
usual,critical,missing,3,convenient,convenient,slightly_prob,not_recom
pretentious,proper,incomplete,more,missing,inconv,problematic,missing
pretentious,improper,missing,missing,convenient,missing,nonprob,priority
usual,missing,complete,2,convenient,inconv,problematic,recommended
missing,proper,missing,3,critical,convenient,missing,missing
great_pret,less_proper,incomplete,2,convenient,missing,nonprob,not_recom
usual,missing,incomplete,1,missing,inconv,nonprob,not_recom
missing,proper,missing,more,less_conv,missing,slightly_prob,missing
missing,less_proper,incomplete,more,critical,inconv,slightly_prob,priority
usual,proper,foster,3,missing,inconv,nonprob,priority
usual,missing,complete,1,critical,inconv,problematic,priority
missing,missing,complete,1,less_conv,convenient,problematic,not_recom
pretentious,proper,incomplete,more,missing,missing,missing,missing
pretentious,critical,completed,missing,convenient,convenient,nonprob,not_recom
missing,missing,foster,more,convenient,inconv,problematic,not_recom
pretentious,less_proper,foster,missing,missing,convenient,slightly_prob,recommended
usual,improper,complete,3,convenient,missing,nonprob,recommended
great_pret,critical,missing,3,less_conv,convenient,problematic,recommended
pretentious,very_crit,completed,1,convenient,convenient,nonprob,recommended
usual,missing,foster,more,convenient,missing,problematic,not_recom
great_pret,less_proper,missing,1,critical,missing,problematic,recommended
missing,critical,foster,missing,critical,inconv,nonprob,priority
usual,improper,completed,1,less_conv,convenient,problematic,priority
great_pret,improper,incomplete,2,less_conv,convenient,slightly_prob,recommended
great_pret,missing,complete,1,convenient,convenient,nonprob,priority
pretentious,less_proper,missing,more,missing,convenient,nonprob,missing
usual,missing,completed,3,critical,convenient,missing,priority
missing,very_crit,foster,3,missing,missing,nonprob,not_recom
pretentious,missing,foster,2,less_conv,missing,missing,recommended
great_pret,very_crit,foster,2,less_conv,inconv,nonprob,not_recom
pretentious,missing,foster,more,convenient,inconv,nonprob,recommended
pretentious,critical,completed,missing,missing,missing,slightly_prob,priority
pretentious,critical,completed,1,convenient,convenient,problematic,priority
great_pret,less_proper,incomplete,missing,critical,inconv,slightly_prob,not_recom
great_pret,less_proper,completed,1,missing,missing,problematic,not_recom
great_pret,very_crit,complete,1,convenient,convenient,missing,priority
missing,critical,incomplete,missing,critical,inconv,nonprob,priority
pretentious,very_crit,incomplete,2,less_conv,inconv,problematic,not_recom
usual,missing,complete,missing,less_conv,missing,nonprob,not_recom
missing,proper,complete,more,less_conv,inconv,problematic,not_recom
great_pret,very_crit,foster,3,less_conv,missing,missing,not_recom
usual,less_proper,foster,more,less_conv,missing,problematic,recommended
pretentious,critical,completed,1,convenient,inconv,slightly_prob,priority
great_pret,less_proper,missing,3,convenient,inconv,problematic,priority
pretentious,less_proper,complete,2,missing,inconv,missing,missing
great_pret,very_crit,incomplete,more,less_conv,convenient,problematic,missing
great_pret,improper,foster,more,convenient,convenient,nonprob,priority
usual,missing,completed,1,critical,inconv,slightly_prob,priority
usual,missing,missing,more,missing,inconv,slightly_prob,missing
missing,very_crit,missing,3,less_conv,convenient,nonprob,not_recom
missing,very_crit,incomplete,missing,missing,convenient,nonprob,priority
great_pret,very_crit,incomplete,1,less_conv,convenient,problematic,missing
pretentious,very_crit,foster,missing,convenient,missing,problematic,not_recom
missing,proper,foster,1,convenient,convenient,missing,missing
pretentious,proper,completed,more,critical,inconv,nonprob,recommended
pretentious,very_crit,complete,1,missing,missing,slightly_prob,not_recom
usual,improper,complete,more,critical,convenient,slightly_prob,recommended
missing,critical,missing,3,less_conv,convenient,nonprob,missing
missing,proper,complete,more,less_conv,convenient,slightly_prob,not_recom
usual,proper,incomplete,2,convenient,inconv,slightly_prob,not_recom
usual,very_crit,complete,3,less_conv,inconv,nonprob,priority
missing,critical,complete,3,critical,convenient,problematic,recommended
great_pret,improper,complete,3,convenient,inconv,problematic,recommended
missing,missing,complete,2,critical,convenient,missing,priority
pretentious,critical,missing,more,less_conv,convenient,problematic,not_recom
usual,critical,incomplete,missing,less_conv,convenient,slightly_prob,recommended
usual,improper,missing,2,missing,missing,slightly_prob,not_recom
usual,less_proper,completed,1,critical,convenient,nonprob,recommended
great_pret,critical,complete,2,missing,inconv,problematic,recommended
great_pret,very_crit,foster,2,less_conv,missing,problematic,recommended
missing,proper,missing,2,missing,inconv,slightly_prob,missing
missing,very_crit,incomplete,2,missing,inconv,nonprob,priority
usual,proper,complete,more,convenient,inconv,problematic,not_recom
great_pret,less_proper,missing,1,critical,convenient,missing,missing
usual,proper,complete,missing,less_conv,convenient,nonprob,recommended
great_pret,missing,complete,3,critical,inconv,slightly_prob,not_recom
usual,very_crit,completed,1,less_conv,missing,problematic,recommended
missing,improper,foster,1,critical,inconv,problematic,priority
missing,proper,completed,3,less_conv,inconv,slightly_prob,priority
missing,critical,missing,3,less_conv,missing,slightly_prob,priority
usual,missing,completed,3,missing,inconv,problematic,recommended
missing,improper,incomplete,2,convenient,inconv,nonprob,recommended
pretentious,critical,complete,more,missing,convenient,problematic,priority
pretentious,very_crit,missing,missing,convenient,missing,slightly_prob,not_recom
pretentious,very_crit,missing,more,convenient,inconv,nonprob,not_recom
usual,critical,complete,3,critical,missing,slightly_prob,recommended
pretentious,missing,missing,2,critical,inconv,problematic,not_recom
usual,improper,foster,more,missing,missing,slightly_prob,missing
missing,critical,complete,3,convenient,convenient,nonprob,priority
pretentious,proper,completed,more,convenient,missing,problematic,priority
great_pret,missing,missing,more,missing,inconv,slightly_prob,priority
pretentious,missing,foster,2,critical,inconv,nonprob,missing
great_pret,very_crit,missing,3,convenient,missing,problematic,not_recom
missing,less_proper,complete,1,critical,inconv,problematic,missing
pretentious,proper,complete,2,less_conv,inconv,nonprob,priority
pretentious,critical,completed,1,critical,convenient,nonprob,not_recom
missing,proper,completed,missing,convenient,inconv,nonprob,priority
pretentious,proper,completed,2,less_conv,convenient,slightly_prob,recommended
pretentious,missing,foster,2,critical,convenient,problematic,priority
great_pret,missing,foster,1,less_conv,inconv,problematic,priority
usual,less_proper,complete,missing,critical,inconv,nonprob,not_recom
usual,missing,missing,3,missing,inconv,missing,priority
pretentious,critical,complete,2,missing,convenient,problematic,missing
usual,proper,incomplete,more,less_conv,inconv,nonprob,missing
usual,improper,foster,missing,convenient,inconv,nonprob,priority
missing,less_proper,complete,1,convenient,convenient,slightly_prob,not_recom
pretentious,improper,incomplete,3,critical,missing,missing,priority
usual,less_proper,foster,more,less_conv,convenient,nonprob,priority
missing,very_crit,completed,missing,less_conv,inconv,slightly_prob,priority
pretentious,critical,complete,3,missing,inconv,slightly_prob,priority
pretentious,proper,foster,1,critical,inconv,missing,priority
missing,less_proper,foster,3,less_conv,inconv,slightly_prob,missing
pretentious,improper,foster,more,less_conv,convenient,problematic,not_recom
great_pret,proper,complete,more,less_conv,convenient,slightly_prob,not_recom
pretentious,missing,foster,2,critical,convenient,slightly_prob,not_recom
missing,improper,missing,2,missing,inconv,missing,not_recom
usual,very_crit,foster,2,critical,convenient,slightly_prob,priority
usual,very_crit,foster,2,less_conv,convenient,slightly_prob,priority
pretentious,critical,foster,more,critical,convenient,problematic,recommended
pretentious,critical,missing,3,missing,missing,nonprob,not_recom
usual,proper,incomplete,3,missing,convenient,slightly_prob,priority
missing,proper,missing,missing,convenient,missing,problematic,recommended
missing,improper,completed,1,critical,inconv,slightly_prob,recommended
missing,improper,incomplete,1,critical,convenient,nonprob,missing
usual,proper,missing,more,critical,inconv,nonprob,not_recom
missing,very_crit,completed,more,critical,convenient,problematic,not_recom
great_pret,less_proper,completed,2,missing,convenient,problematic,not_recom
usual,missing,complete,more,convenient,inconv,nonprob,recommended
great_pret,missing,complete,more,less_conv,missing,slightly_prob,recommended
usual,less_proper,foster,more,less_conv,inconv,problematic,missing
usual,improper,foster,1,critical,inconv,problematic,priority
missing,proper,incomplete,2,missing,inconv,problematic,missing
pretentious,improper,incomplete,more,critical,inconv,slightly_prob,missing
missing,less_proper,foster,more,missing,missing,missing,recommended
missing,less_proper,foster,3,missing,convenient,missing,priority
pretentious,critical,foster,3,missing,inconv,slightly_prob,missing
usual,improper,completed,1,critical,inconv,problematic,not_recom
usual,critical,missing,2,critical,missing,problematic,recommended
pretentious,critical,missing,more,convenient,missing,missing,priority
pretentious,very_crit,completed,more,critical,inconv,nonprob,recommended
usual,very_crit,completed,2,missing,inconv,nonprob,not_recom
pretentious,less_proper,missing,1,less_conv,convenient,nonprob,not_recom
missing,critical,complete,more,critical,convenient,problematic,recommended
usual,critical,complete,1,convenient,convenient,missing,priority
missing,very_crit,missing,1,less_conv,convenient,slightly_prob,not_recom
usual,critical,completed,3,less_conv,missing,nonprob,not_recom
great_pret,critical,completed,more,less_conv,convenient,nonprob,missing
pretentious,critical,complete,1,convenient,convenient,problematic,recommended
great_pret,less_proper,incomplete,3,missing,convenient,missing,priority
missing,very_crit,foster,missing,convenient,inconv,missing,recommended
usual,missing,completed,2,less_conv,convenient,nonprob,missing
great_pret,missing,incomplete,3,missing,convenient,missing,not_recom
missing,very_crit,foster,3,convenient,inconv,missing,not_recom
great_pret,proper,missing,more,less_conv,convenient,problematic,priority
usual,missing,foster,2,less_conv,inconv,slightly_prob,priority
pretentious,critical,completed,2,convenient,missing,slightly_prob,recommended
missing,critical,missing,more,missing,convenient,nonprob,priority
missing,less_proper,complete,more,less_conv,inconv,problematic,missing
missing,improper,foster,2,convenient,inconv,slightly_prob,missing
pretentious,proper,foster,missing,less_conv,missing,nonprob,priority
pretentious,very_crit,foster,missing,critical,inconv,problematic,not_recom
usual,very_crit,missing,1,critical,convenient,slightly_prob,recommended
missing,very_crit,missing,more,convenient,convenient,problematic,not_recom
great_pret,missing,completed,3,less_conv,inconv,problematic,priority
pretentious,proper,incomplete,more,less_conv,convenient,problematic,missing
usual,missing,foster,2,convenient,inconv,slightly_prob,missing
great_pret,very_crit,incomplete,2,critical,inconv,missing,not_recom
missing,missing,completed,2,critical,missing,slightly_prob,recommended
usual,critical,missing,3,missing,missing,slightly_prob,recommended
pretentious,improper,missing,3,less_conv,convenient,missing,recommended
great_pret,proper,foster,1,critical,convenient,slightly_prob,recommended
great_pret,very_crit,missing,missing,less_conv,inconv,missing,priority
pretentious,less_proper,incomplete,more,less_conv,convenient,nonprob,missing
pretentious,proper,foster,more,convenient,inconv,problematic,priority
great_pret,less_proper,complete,1,less_conv,inconv,slightly_prob,priority
great_pret,proper,complete,missing,critical,inconv,nonprob,recommended
great_pret,missing,missing,missing,convenient,inconv,nonprob,recommended
usual,proper,completed,1,critical,convenient,missing,recommended
usual,missing,completed,2,missing,missing,slightly_prob,recommended
missing,critical,complete,missing,critical,convenient,missing,recommended
pretentious,less_proper,foster,2,missing,missing,nonprob,priority
great_pret,critical,completed,3,missing,missing,missing,recommended
great_pret,proper,foster,3,missing,inconv,slightly_prob,not_recom
pretentious,missing,foster,missing,missing,convenient,missing,recommended
great_pret,proper,completed,1,less_conv,inconv,problematic,recommended
missing,missing,missing,more,less_conv,convenient,problematic,missing
usual,critical,missing,more,convenient,inconv,missing,priority
great_pret,critical,complete,missing,missing,inconv,nonprob,not_recom
missing,proper,missing,more,less_conv,convenient,nonprob,missing
missing,missing,complete,missing,less_conv,convenient,missing,priority
missing,less_proper,incomplete,1,critical,convenient,problematic,missing
pretentious,proper,incomplete,missing,less_conv,missing,slightly_prob,not_recom
usual,less_proper,missing,2,missing,convenient,problematic,not_recom
missing,improper,complete,1,critical,inconv,slightly_prob,not_recom
usual,less_proper,complete,3,missing,convenient,slightly_prob,missing
usual,critical,complete,missing,critical,missing,problematic,recommended
pretentious,proper,foster,1,less_conv,convenient,missing,priority
usual,missing,incomplete,missing,critical,convenient,problematic,not_recom
missing,missing,incomplete,1,critical,missing,missing,recommended
great_pret,missing,foster,more,convenient,missing,nonprob,missing
great_pret,improper,complete,1,critical,missing,nonprob,recommended
great_pret,improper,complete,3,missing,inconv,slightly_prob,priority
missing,critical,completed,more,critical,missing,slightly_prob,missing
great_pret,missing,completed,more,missing,convenient,slightly_prob,priority
missing,improper,completed,missing,critical,convenient,nonprob,missing
pretentious,missing,complete,1,critical,inconv,missing,priority
pretentious,critical,complete,1,convenient,missing,missing,recommended
missing,improper,missing,3,convenient,convenient,missing,recommended
usual,missing,missing,missing,missing,inconv,problematic,recommended
missing,missing,completed,missing,less_conv,convenient,problematic,recommended
missing,improper,completed,missing,critical,convenient,problematic,not_recom
usual,critical,foster,3,missing,convenient,slightly_prob,recommended
pretentious,proper,complete,3,missing,missing,problematic,priority
usual,critical,incomplete,3,missing,convenient,problematic,not_recom
usual,proper,incomplete,1,critical,missing,slightly_prob,not_recom
missing,missing,foster,3,missing,inconv,nonprob,recommended
missing,improper,completed,2,missing,convenient,nonprob,recommended
pretentious,proper,foster,1,convenient,missing,missing,not_recom
usual,very_crit,missing,2,missing,inconv,problematic,recommended
usual,improper,completed,1,convenient,inconv,missing,missing
great_pret,very_crit,completed,more,convenient,missing,problematic,priority
pretentious,less_proper,completed,missing,convenient,convenient,missing,not_recom
pretentious,very_crit,complete,3,critical,convenient,slightly_prob,recommended
usual,missing,missing,more,missing,convenient,missing,recommended
pretentious,proper,incomplete,2,critical,inconv,problematic,not_recom
great_pret,missing,completed,more,critical,missing,problematic,priority
usual,very_crit,foster,2,convenient,missing,problematic,priority
pretentious,missing,missing,missing,critical,convenient,nonprob,priority
great_pret,improper,complete,3,missing,missing,nonprob,recommended
usual,missing,complete,missing,critical,missing,problematic,missing
great_pret,improper,complete,2,less_conv,convenient,slightly_prob,priority
great_pret,less_proper,incomplete,2,less_conv,inconv,nonprob,not_recom
missing,improper,missing,more,missing,convenient,nonprob,missing
great_pret,critical,completed,3,missing,convenient,problematic,missing
usual,improper,completed,3,missing,convenient,problematic,missing
great_pret,missing,missing,1,critical,inconv,missing,priority
pretentious,less_proper,complete,1,less_conv,convenient,slightly_prob,recommended
usual,proper,completed,2,less_conv,missing,nonprob,recommended
pretentious,proper,complete,more,less_conv,convenient,nonprob,not_recom
usual,critical,completed,3,convenient,convenient,slightly_prob,priority
missing,very_crit,foster,3,missing,convenient,nonprob,not_recom
missing,critical,completed,1,convenient,missing,problematic,not_recom
usual,less_proper,incomplete,more,less_conv,convenient,problematic,recommended
great_pret,proper,foster,2,less_conv,convenient,problematic,not_recom
missing,missing,complete,1,missing,inconv,missing,missing
missing,proper,foster,missing,convenient,missing,missing,priority
pretentious,very_crit,completed,2,convenient,inconv,nonprob,not_recom
great_pret,critical,foster,2,missing,convenient,slightly_prob,not_recom
pretentious,less_proper,foster,1,less_conv,convenient,nonprob,missing
missing,critical,missing,3,critical,convenient,slightly_prob,missing
usual,critical,completed,3,critical,missing,missing,priority
great_pret,missing,completed,missing,missing,convenient,slightly_prob,recommended
usual,missing,foster,2,convenient,inconv,slightly_prob,recommended
great_pret,missing,foster,3,less_conv,convenient,nonprob,priority
great_pret,very_crit,foster,3,less_conv,convenient,nonprob,recommended
pretentious,proper,incomplete,missing,missing,inconv,slightly_prob,not_recom
pretentious,missing,foster,more,missing,inconv,nonprob,missing
great_pret,less_proper,missing,3,convenient,convenient,problematic,missing
usual,proper,incomplete,missing,convenient,convenient,slightly_prob,priority
usual,proper,foster,missing,convenient,convenient,slightly_prob,priority
missing,very_crit,complete,2,critical,inconv,missing,recommended
missing,very_crit,foster,missing,critical,convenient,slightly_prob,recommended
usual,critical,missing,2,less_conv,convenient,missing,priority
pretentious,proper,foster,3,missing,inconv,problematic,missing
usual,critical,completed,more,convenient,convenient,nonprob,priority
missing,very_crit,missing,missing,critical,inconv,missing,recommended
usual,improper,complete,missing,less_conv,inconv,slightly_prob,priority
pretentious,missing,complete,missing,missing,inconv,missing,recommended
pretentious,critical,missing,2,critical,missing,slightly_prob,priority
usual,less_proper,missing,2,missing,inconv,slightly_prob,recommended
pretentious,missing,foster,missing,less_conv,inconv,missing,missing
pretentious,improper,foster,3,convenient,convenient,problematic,not_recom
pretentious,very_crit,incomplete,2,missing,missing,problematic,priority
pretentious,improper,foster,missing,less_conv,missing,problematic,not_recom
great_pret,improper,complete,more,critical,convenient,missing,recommended
pretentious,very_crit,foster,more,less_conv,missing,slightly_prob,missing
missing,missing,foster,3,critical,inconv,problematic,not_recom
usual,proper,complete,3,missing,inconv,missing,not_recom
great_pret,critical,complete,1,missing,inconv,nonprob,recommended
missing,less_proper,missing,2,convenient,inconv,nonprob,not_recom
pretentious,missing,completed,1,convenient,convenient,nonprob,not_recom
pretentious,less_proper,completed,missing,less_conv,convenient,nonprob,not_recom
missing,less_proper,completed,2,missing,convenient,nonprob,priority
pretentious,proper,complete,1,critical,inconv,missing,not_recom
usual,critical,foster,more,convenient,convenient,slightly_prob,not_recom
pretentious,critical,completed,more,less_conv,convenient,missing,missing
missing,proper,foster,more,convenient,inconv,missing,missing
pretentious,less_proper,completed,missing,less_conv,convenient,nonprob,priority
missing,critical,completed,missing,critical,convenient,slightly_prob,priority
usual,improper,missing,1,critical,missing,slightly_prob,recommended
great_pret,critical,incomplete,2,critical,inconv,nonprob,priority
missing,very_crit,missing,more,less_conv,inconv,problematic,not_recom
missing,missing,foster,3,critical,inconv,problematic,recommended
usual,missing,missing,1,convenient,inconv,nonprob,priority
usual,very_crit,incomplete,1,critical,missing,nonprob,not_recom
usual,less_proper,completed,1,critical,inconv,nonprob,recommended
pretentious,critical,missing,more,critical,inconv,missing,recommended
missing,critical,missing,missing,missing,inconv,missing,recommended
usual,missing,foster,3,missing,inconv,problematic,not_recom
pretentious,critical,foster,missing,convenient,inconv,missing,not_recom
pretentious,very_crit,completed,3,less_conv,inconv,missing,priority
usual,missing,missing,3,missing,convenient,nonprob,recommended
usual,critical,completed,1,convenient,convenient,nonprob,priority
usual,very_crit,foster,1,convenient,missing,missing,not_recom
pretentious,critical,completed,3,missing,inconv,missing,not_recom
usual,missing,foster,1,critical,inconv,slightly_prob,priority
usual,missing,complete,2,critical,inconv,slightly_prob,priority
pretentious,proper,complete,more,less_conv,missing,nonprob,recommended
usual,critical,complete,missing,critical,convenient,nonprob,recommended
great_pret,proper,incomplete,missing,less_conv,missing,problematic,priority
great_pret,improper,missing,more,convenient,inconv,slightly_prob,recommended
missing,proper,foster,3,convenient,inconv,nonprob,missing
great_pret,very_crit,completed,missing,missing,convenient,slightly_prob,not_recom
missing,less_proper,foster,missing,missing,inconv,nonprob,missing
missing,improper,complete,more,less_conv,inconv,problematic,recommended
pretentious,very_crit,complete,1,less_conv,inconv,slightly_prob,priority
pretentious,missing,complete,3,missing,inconv,nonprob,missing
usual,proper,complete,more,convenient,inconv,nonprob,recommended
missing,less_proper,incomplete,missing,less_conv,missing,slightly_prob,recommended
pretentious,very_crit,missing,more,convenient,inconv,slightly_prob,priority
missing,very_crit,foster,missing,convenient,convenient,slightly_prob,not_recom
usual,very_crit,missing,2,critical,convenient,nonprob,missing
great_pret,very_crit,incomplete,missing,missing,missing,slightly_prob,missing
pretentious,very_crit,incomplete,2,convenient,inconv,nonprob,recommended
pretentious,less_proper,missing,missing,convenient,inconv,nonprob,recommended
usual,critical,incomplete,more,convenient,inconv,slightly_prob,missing
usual,less_proper,foster,missing,convenient,missing,problematic,priority
great_pret,missing,incomplete,missing,missing,convenient,nonprob,not_recom
missing,critical,incomplete,3,convenient,missing,slightly_prob,priority
great_pret,less_proper,incomplete,more,less_conv,inconv,slightly_prob,recommended
usual,proper,foster,more,missing,missing,missing,priority
great_pret,proper,missing,1,critical,convenient,nonprob,recommended
great_pret,very_crit,complete,more,critical,inconv,nonprob,not_recom
missing,very_crit,foster,missing,critical,inconv,missing,not_recom
usual,less_proper,complete,2,less_conv,missing,problematic,recommended
missing,less_proper,missing,2,convenient,inconv,nonprob,recommended
missing,very_crit,missing,missing,convenient,inconv,nonprob,recommended
great_pret,less_proper,incomplete,more,critical,missing,problematic,recommended
usual,critical,foster,more,critical,convenient,missing,missing
