parents,has_nurs,form,children,housing,finance,social,health
great_pret,,complete,3,critical,convenient,problematic,not_recom
great_pret,improper,complete,1,convenient,inconv,problematic,priority
usual,critical,completed,2,critical,convenient,problematic,recommended
great_pret,less_proper,,1,less_conv,convenient,slightly_prob,recommended
great_pret,very_crit,,more,critical,convenient,problematic,recommended
usual,improper,foster,1,convenient,inconv,problematic,not_recom
pretentious,very_crit,,more,convenient,inconv,problematic,recommended
usual,,foster,,less_conv,inconv,problematic,priority
great_pret,critical,incomplete,2,critical,convenient,slightly_prob,not_recom
great_pret,less_proper,completed,1,critical,convenient,problematic,not_recom
great_pret,less_proper,,2,less_conv,inconv,nonprob,priority
pretentious,critical,,,less_conv,inconv,slightly_prob,not_recom
pretentious,less_proper,complete,2,less_conv,convenient,slightly_prob,priority
great_pret,less_proper,incomplete,2,critical,convenient,slightly_prob,not_recom
great_pret,proper,,1,less_conv,convenient,nonprob,not_recom
pretentious,less_proper,completed,more,critical,inconv,problematic,not_recom
usual,very_crit,,2,convenient,inconv,problematic,not_recom
pretentious,very_crit,complete,3,critical,inconv,problematic,not_recom
pretentious,proper,completed,1,less_conv,convenient,nonprob,priority
great_pret,,,2,critical,convenient,slightly_prob,recommended
pretentious,less_proper,incomplete,1,convenient,convenient,problematic,recommended
pretentious,less_proper,foster,,less_conv,convenient,problematic,priority
pretentious,critical,complete,3,convenient,convenient,slightly_prob,recommended
great_pret,critical,completed,1,less_conv,inconv,problematic,priority
pretentious,improper,complete,3,convenient,convenient,problematic,recommended
great_pret,critical,incomplete,,critical,convenient,problematic,priority
pretentious,,incomplete,1,convenient,convenient,problematic,priority
great_pret,proper,incomplete,3,less_conv,inconv,slightly_prob,recommended
pretentious,improper,,1,less_conv,inconv,problematic,priority
pretentious,improper,incomplete,2,convenient,convenient,nonprob,recommended
pretentious,very_crit,completed,3,critical,convenient,nonprob,recommended
usual,,completed,2,less_conv,convenient,nonprob,recommended
usual,very_crit,,3,less_conv,inconv,problematic,recommended
pretentious,very_crit,complete,2,less_conv,convenient,problematic,not_recom
pretentious,proper,complete,2,critical,convenient,problematic,not_recom
pretentious,very_crit,completed,,convenient,convenient,nonprob,not_recom
great_pret,less_proper,foster,1,critical,inconv,problematic,not_recom
pretentious,,,,critical,convenient,nonprob,recommended
usual,proper,foster,1,critical,inconv,problematic,priority
great_pret,critical,,more,less_conv,convenient,nonprob,not_recom
great_pret,,completed,,critical,inconv,nonprob,priority
pretentious,,incomplete,3,critical,convenient,problematic,not_recom
great_pret,,foster,1,critical,inconv,slightly_prob,priority
great_pret,very_crit,foster,,critical,inconv,problematic,recommended
pretentious,proper,,3,convenient,inconv,problematic,priority
pretentious,improper,foster,,convenient,inconv,problematic,not_recom
great_pret,less_proper,completed,3,critical,convenient,slightly_prob,recommended
pretentious,very_crit,incomplete,2,convenient,convenient,slightly_prob,priority
pretentious,,complete,2,convenient,convenient,slightly_prob,not_recom
pretentious,proper,,,convenient,convenient,problematic,not_recom
great_pret,less_proper,incomplete,3,convenient,inconv,problematic,recommended
usual,very_crit,,,convenient,inconv,problematic,not_recom
great_pret,proper,completed,more,convenient,convenient,problematic,recommended
usual,proper,foster,,critical,inconv,slightly_prob,not_recom
usual,,incomplete,more,critical,convenient,slightly_prob,recommended
great_pret,very_crit,complete,more,convenient,inconv,nonprob,recommended
great_pret,very_crit,,more,critical,convenient,slightly_prob,recommended
pretentious,improper,complete,3,less_conv,inconv,problematic,priority
usual,,complete,3,convenient,convenient,problematic,not_recom
great_pret,,foster,2,less_conv,inconv,problematic,priority
pretentious,critical,incomplete,3,less_conv,convenient,problematic,recommended
usual,,complete,1,convenient,convenient,problematic,recommended
great_pret,critical,foster,2,critical,convenient,slightly_prob,not_recom
great_pret,improper,,3,critical,convenient,slightly_prob,priority
usual,critical,,3,less_conv,inconv,nonprob,priority
great_pret,,incomplete,2,convenient,convenient,problematic,recommended
pretentious,proper,,more,critical,inconv,problematic,recommended
pretentious,,complete,2,less_conv,convenient,nonprob,recommended
usual,very_crit,completed,3,convenient,inconv,problematic,priority
pretentious,critical,completed,3,less_conv,convenient,slightly_prob,recommended
pretentious,very_crit,foster,1,convenient,inconv,problematic,recommended
pretentious,,incomplete,,convenient,inconv,problematic,recommended
pretentious,critical,incomplete,3,less_conv,inconv,nonprob,recommended
usual,critical,foster,2,convenient,inconv,problematic,not_recom
great_pret,critical,incomplete,3,convenient,inconv,problematic,not_recom
great_pret,critical,foster,more,convenient,inconv,problematic,priority
great_pret,critical,foster,3,convenient,convenient,problematic,not_recom
usual,less_proper,completed,3,critical,inconv,problematic,not_recom
usual,less_proper,foster,1,critical,convenient,problematic,not_recom
pretentious,critical,foster,more,critical,inconv,nonprob,not_recom
pretentious,critical,,3,critical,convenient,nonprob,recommended
great_pret,critical,incomplete,2,less_conv,convenient,nonprob,recommended
great_pret,very_crit,completed,more,critical,inconv,slightly_prob,not_recom
usual,critical,incomplete,3,critical,inconv,slightly_prob,recommended
pretentious,,,1,less_conv,inconv,problematic,priority
great_pret,very_crit,foster,more,less_conv,inconv,nonprob,recommended
usual,less_proper,completed,3,critical,convenient,nonprob,priority
great_pret,less_proper,incomplete,2,convenient,inconv,slightly_prob,priority
usual,critical,,3,convenient,convenient,slightly_prob,not_recom
pretentious,proper,incomplete,more,less_conv,inconv,problematic,recommended
pretentious,improper,,,convenient,inconv,nonprob,priority
usual,,complete,2,convenient,inconv,problematic,recommended
usual,proper,,3,critical,convenient,problematic,not_recom
great_pret,less_proper,incomplete,2,convenient,inconv,nonprob,not_recom
usual,,incomplete,1,critical,inconv,nonprob,not_recom
great_pret,proper,,more,less_conv,convenient,slightly_prob,recommended
pretentious,less_proper,incomplete,more,critical,inconv,slightly_prob,priority
usual,proper,foster,3,less_conv,inconv,nonprob,priority
usual,,complete,1,critical,inconv,problematic,priority
great_pret,,complete,1,less_conv,convenient,problematic,not_recom
pretentious,proper,incomplete,more,critical,inconv,problematic,not_recom
pretentious,critical,completed,,convenient,convenient,nonprob,not_recom
great_pret,,foster,more,convenient,inconv,problematic,not_recom
pretentious,less_proper,foster,,critical,convenient,slightly_prob,recommended
usual,improper,complete,3,convenient,inconv,nonprob,recommended
great_pret,critical,,3,less_conv,convenient,problematic,recommended
pretentious,very_crit,completed,1,convenient,convenient,nonprob,recommended
usual,,foster,more,convenient,inconv,problematic,not_recom
great_pret,less_proper,,1,critical,convenient,problematic,recommended
pretentious,critical,foster,,critical,inconv,nonprob,priority
usual,improper,completed,1,less_conv,convenient,problematic,priority
great_pret,improper,incomplete,2,less_conv,convenient,slightly_prob,recommended
great_pret,,complete,1,convenient,convenient,nonprob,priority
pretentious,less_proper,,more,less_conv,convenient,nonprob,recommended
usual,,completed,3,critical,convenient,problematic,priority
pretentious,very_crit,foster,3,critical,convenient,nonprob,not_recom
pretentious,,foster,2,less_conv,inconv,problematic,recommended
great_pret,very_crit,foster,2,less_conv,inconv,nonprob,not_recom
pretentious,,foster,more,convenient,inconv,nonprob,recommended
pretentious,critical,completed,,less_conv,inconv,slightly_prob,priority
pretentious,critical,completed,1,convenient,convenient,problematic,priority
great_pret,less_proper,incomplete,,critical,inconv,slightly_prob,not_recom
great_pret,less_proper,completed,1,critical,convenient,problematic,not_recom
great_pret,very_crit,complete,1,convenient,convenient,problematic,priority
pretentious,critical,incomplete,,critical,inconv,nonprob,priority
pretentious,very_crit,incomplete,2,less_conv,inconv,problematic,not_recom
usual,,complete,,less_conv,inconv,nonprob,not_recom
great_pret,proper,complete,more,less_conv,inconv,problematic,not_recom
great_pret,very_crit,foster,3,less_conv,inconv,problematic,not_recom
usual,less_proper,foster,more,less_conv,inconv,problematic,recommended
pretentious,critical,completed,1,convenient,inconv,slightly_prob,priority
great_pret,less_proper,,3,convenient,inconv,problematic,priority
pretentious,less_proper,complete,2,less_conv,inconv,problematic,recommended
great_pret,very_crit,incomplete,more,less_conv,convenient,problematic,recommended
great_pret,improper,foster,more,convenient,convenient,nonprob,priority
usual,,completed,1,critical,inconv,slightly_prob,priority
usual,,,more,less_conv,inconv,slightly_prob,recommended
pretentious,very_crit,,3,less_conv,convenient,nonprob,not_recom
pretentious,very_crit,incomplete,,critical,convenient,nonprob,priority
great_pret,very_crit,incomplete,1,less_conv,convenient,problematic,recommended
pretentious,very_crit,foster,,convenient,inconv,problematic,not_recom
great_pret,proper,foster,1,convenient,convenient,problematic,recommended
pretentious,proper,completed,more,critical,inconv,nonprob,recommended
pretentious,very_crit,complete,1,less_conv,convenient,slightly_prob,not_recom
usual,improper,complete,more,critical,convenient,slightly_prob,recommended
pretentious,critical,,3,less_conv,convenient,nonprob,recommended
pretentious,proper,complete,more,less_conv,convenient,slightly_prob,not_recom
usual,proper,incomplete,2,convenient,inconv,slightly_prob,not_recom
usual,very_crit,complete,3,less_conv,inconv,nonprob,priority
pretentious,critical,complete,3,critical,convenient,problematic,recommended
great_pret,improper,complete,3,convenient,inconv,problematic,recommended
usual,,complete,2,critical,convenient,problematic,priority
pretentious,critical,,more,less_conv,convenient,problematic,not_recom
usual,critical,incomplete,,less_conv,convenient,slightly_prob,recommended
usual,improper,,2,critical,convenient,slightly_prob,not_recom
usual,less_proper,completed,1,critical,convenient,nonprob,recommended
great_pret,critical,complete,2,less_conv,inconv,problematic,recommended
great_pret,very_crit,foster,2,less_conv,inconv,problematic,recommended
pretentious,proper,,2,less_conv,inconv,slightly_prob,not_recom
pretentious,very_crit,incomplete,2,less_conv,inconv,nonprob,priority
usual,proper,complete,more,convenient,inconv,problematic,not_recom
great_pret,less_proper,,1,critical,convenient,problematic,not_recom
usual,proper,complete,,less_conv,convenient,nonprob,recommended
great_pret,,complete,3,critical,inconv,slightly_prob,not_recom
usual,very_crit,completed,1,less_conv,inconv,problematic,recommended
great_pret,improper,foster,1,critical,inconv,problematic,priority
great_pret,proper,completed,3,less_conv,inconv,slightly_prob,priority
pretentious,critical,,3,less_conv,convenient,slightly_prob,priority
usual,,completed,3,less_conv,inconv,problematic,recommended
pretentious,improper,incomplete,2,convenient,inconv,nonprob,recommended
pretentious,critical,complete,more,less_conv,convenient,problematic,priority
pretentious,very_crit,,,convenient,convenient,slightly_prob,not_recom
pretentious,very_crit,,more,convenient,inconv,nonprob,not_recom
usual,critical,complete,3,critical,convenient,slightly_prob,recommended
pretentious,,,2,critical,inconv,problematic,not_recom
usual,improper,foster,more,less_conv,inconv,slightly_prob,recommended
pretentious,critical,complete,3,convenient,convenient,nonprob,priority
pretentious,proper,completed,more,convenient,inconv,problematic,priority
great_pret,,,more,less_conv,inconv,slightly_prob,priority
pretentious,,foster,2,critical,inconv,nonprob,not_recom
great_pret,very_crit,,3,convenient,inconv,problematic,not_recom
great_pret,less_proper,complete,1,critical,inconv,problematic,recommended
pretentious,proper,complete,2,less_conv,inconv,nonprob,priority
pretentious,critical,completed,1,critical,convenient,nonprob,not_recom
great_pret,proper,completed,,convenient,inconv,nonprob,priority
pretentious,proper,completed,2,less_conv,convenient,slightly_prob,recommended
pretentious,,foster,2,critical,convenient,problematic,priority
great_pret,,foster,1,less_conv,inconv,problematic,priority
usual,less_proper,complete,,critical,inconv,nonprob,not_recom
usual,,,3,less_conv,inconv,problematic,priority
pretentious,critical,complete,2,less_conv,convenient,problematic,recommended
usual,proper,incomplete,more,less_conv,inconv,nonprob,recommended
usual,improper,foster,,convenient,inconv,nonprob,priority
pretentious,less_proper,complete,1,convenient,convenient,slightly_prob,not_recom
pretentious,improper,incomplete,3,critical,inconv,problematic,priority
usual,less_proper,foster,more,less_conv,convenient,nonprob,priority
pretentious,very_crit,completed,,less_conv,inconv,slightly_prob,priority
pretentious,critical,complete,3,less_conv,inconv,slightly_prob,priority
pretentious,proper,foster,1,critical,inconv,problematic,priority
pretentious,less_proper,foster,3,less_conv,inconv,slightly_prob,recommended
pretentious,improper,foster,more,less_conv,convenient,problematic,not_recom
great_pret,proper,complete,more,less_conv,convenient,slightly_prob,not_recom
pretentious,,foster,2,critical,convenient,slightly_prob,not_recom
usual,improper,,2,critical,inconv,problematic,not_recom
usual,very_crit,foster,2,critical,convenient,slightly_prob,priority
usual,very_crit,foster,2,less_conv,convenient,slightly_prob,priority
pretentious,critical,foster,more,critical,convenient,problematic,recommended
pretentious,critical,,3,less_conv,convenient,nonprob,not_recom
usual,proper,incomplete,3,less_conv,convenient,slightly_prob,priority
great_pret,proper,,,convenient,inconv,problematic,recommended
great_pret,improper,completed,1,critical,inconv,slightly_prob,recommended
pretentious,improper,incomplete,1,critical,convenient,nonprob,recommended
usual,proper,,more,critical,inconv,nonprob,not_recom
usual,very_crit,completed,more,critical,convenient,problematic,not_recom
great_pret,less_proper,completed,2,critical,convenient,problematic,not_recom
usual,,complete,more,convenient,inconv,nonprob,recommended
great_pret,,complete,more,less_conv,inconv,slightly_prob,recommended
usual,less_proper,foster,more,less_conv,inconv,problematic,recommended
usual,improper,foster,1,critical,inconv,problematic,priority
pretentious,proper,incomplete,2,less_conv,inconv,problematic,recommended
pretentious,improper,incomplete,more,critical,inconv,slightly_prob,not_recom
great_pret,less_proper,foster,more,critical,convenient,problematic,recommended
great_pret,less_proper,foster,3,less_conv,convenient,problematic,priority
pretentious,critical,foster,3,less_conv,inconv,slightly_prob,recommended
usual,improper,completed,1,critical,inconv,problematic,not_recom
usual,critical,,2,critical,convenient,problematic,recommended
pretentious,critical,,more,convenient,inconv,problematic,priority
pretentious,very_crit,completed,more,critical,inconv,nonprob,recommended
usual,very_crit,completed,2,critical,inconv,nonprob,not_recom
pretentious,less_proper,,1,less_conv,convenient,nonprob,not_recom
great_pret,critical,complete,more,critical,convenient,problematic,recommended
usual,critical,complete,1,convenient,convenient,problematic,priority
pretentious,very_crit,,1,less_conv,convenient,slightly_prob,not_recom
usual,critical,completed,3,less_conv,convenient,nonprob,not_recom
great_pret,critical,completed,more,less_conv,convenient,nonprob,recommended
pretentious,critical,complete,1,convenient,convenient,problematic,recommended
great_pret,less_proper,incomplete,3,less_conv,convenient,problematic,priority
pretentious,very_crit,foster,,convenient,inconv,problematic,recommended
usual,,completed,2,less_conv,convenient,nonprob,recommended
great_pret,,incomplete,3,critical,convenient,problematic,not_recom
pretentious,very_crit,foster,3,convenient,inconv,problematic,not_recom
great_pret,proper,,more,less_conv,convenient,problematic,priority
usual,,foster,2,less_conv,inconv,slightly_prob,priority
pretentious,critical,completed,2,convenient,convenient,slightly_prob,recommended
pretentious,critical,,more,less_conv,convenient,nonprob,priority
great_pret,less_proper,complete,more,less_conv,inconv,problematic,recommended
pretentious,improper,foster,2,convenient,inconv,slightly_prob,not_recom
pretentious,proper,foster,,less_conv,inconv,nonprob,priority
pretentious,very_crit,foster,,critical,inconv,problematic,not_recom
usual,very_crit,,1,critical,convenient,slightly_prob,recommended
pretentious,very_crit,,more,convenient,convenient,problematic,not_recom
great_pret,,completed,3,less_conv,inconv,problematic,priority
pretentious,proper,incomplete,more,less_conv,convenient,problematic,recommended
usual,,foster,2,convenient,inconv,slightly_prob,not_recom
great_pret,very_crit,incomplete,2,critical,inconv,problematic,not_recom
great_pret,,completed,2,critical,convenient,slightly_prob,recommended
usual,critical,,3,less_conv,convenient,slightly_prob,recommended
pretentious,improper,,3,less_conv,convenient,problematic,recommended
great_pret,proper,foster,1,critical,convenient,slightly_prob,recommended
great_pret,very_crit,,,less_conv,inconv,problematic,priority
pretentious,less_proper,incomplete,more,less_conv,convenient,nonprob,recommended
pretentious,proper,foster,more,convenient,inconv,problematic,priority
great_pret,less_proper,complete,1,less_conv,inconv,slightly_prob,priority
great_pret,proper,complete,,critical,inconv,nonprob,recommended
great_pret,,,,convenient,inconv,nonprob,recommended
usual,proper,completed,1,critical,convenient,problematic,recommended
usual,,completed,2,critical,convenient,slightly_prob,recommended
pretentious,critical,complete,,critical,convenient,problematic,recommended
pretentious,less_proper,foster,2,critical,inconv,nonprob,priority
great_pret,critical,completed,3,less_conv,inconv,problematic,recommended
great_pret,proper,foster,3,less_conv,inconv,slightly_prob,not_recom
pretentious,,foster,,critical,convenient,problematic,recommended
great_pret,proper,completed,1,less_conv,inconv,problematic,recommended
great_pret,,,more,less_conv,convenient,problematic,recommended
usual,critical,,more,convenient,inconv,problematic,priority
great_pret,critical,complete,,critical,inconv,nonprob,not_recom
great_pret,proper,,more,less_conv,convenient,nonprob,recommended
pretentious,,complete,,less_conv,convenient,slightly_prob,priority
great_pret,less_proper,incomplete,1,critical,convenient,problematic,recommended
pretentious,proper,incomplete,,less_conv,inconv,slightly_prob,not_recom
usual,less_proper,,2,critical,convenient,problematic,not_recom
pretentious,improper,complete,1,critical,inconv,slightly_prob,not_recom
usual,less_proper,complete,3,less_conv,convenient,slightly_prob,recommended
usual,critical,complete,,critical,convenient,problematic,recommended
pretentious,proper,foster,1,less_conv,convenient,problematic,priority
usual,,incomplete,,critical,convenient,problematic,not_recom
great_pret,,incomplete,1,critical,convenient,problematic,recommended
great_pret,,foster,more,convenient,inconv,nonprob,recommended
great_pret,improper,complete,1,critical,convenient,nonprob,recommended
great_pret,improper,complete,3,less_conv,inconv,slightly_prob,priority
great_pret,critical,completed,more,critical,convenient,slightly_prob,recommended
great_pret,,completed,more,less_conv,convenient,slightly_prob,priority
great_pret,improper,completed,,critical,convenient,nonprob,recommended
pretentious,,complete,1,critical,inconv,problematic,priority
pretentious,critical,complete,1,convenient,inconv,problematic,recommended
great_pret,improper,,3,convenient,convenient,problematic,recommended
usual,,,,critical,inconv,problematic,recommended
great_pret,,completed,,less_conv,convenient,problematic,recommended
great_pret,improper,completed,,critical,convenient,problematic,not_recom
usual,critical,foster,3,less_conv,convenient,slightly_prob,recommended
pretentious,proper,complete,3,less_conv,inconv,problematic,priority
usual,critical,incomplete,3,critical,convenient,problematic,not_recom
usual,proper,incomplete,1,critical,convenient,slightly_prob,not_recom
pretentious,,foster,3,less_conv,inconv,nonprob,recommended
great_pret,improper,completed,2,less_conv,convenient,nonprob,recommended
pretentious,proper,foster,1,convenient,inconv,problematic,not_recom
usual,very_crit,,2,less_conv,inconv,problematic,recommended
usual,improper,completed,1,convenient,inconv,problematic,priority
great_pret,very_crit,completed,more,convenient,inconv,problematic,priority
pretentious,less_proper,completed,,convenient,convenient,slightly_prob,not_recom
pretentious,very_crit,complete,3,critical,convenient,slightly_prob,recommended
usual,,,more,critical,convenient,problematic,recommended
pretentious,proper,incomplete,2,critical,inconv,problematic,not_recom
great_pret,,completed,more,critical,inconv,problematic,priority
usual,very_crit,foster,2,convenient,inconv,problematic,priority
pretentious,,,,critical,convenient,nonprob,priority
great_pret,improper,complete,3,less_conv,inconv,nonprob,recommended
usual,,complete,,critical,inconv,problematic,recommended
great_pret,improper,complete,2,less_conv,convenient,slightly_prob,priority
great_pret,less_proper,incomplete,2,less_conv,inconv,nonprob,not_recom
great_pret,improper,,more,less_conv,convenient,nonprob,recommended
great_pret,critical,completed,3,less_conv,convenient,problematic,recommended
usual,improper,completed,3,less_conv,convenient,problematic,recommended
great_pret,,,1,critical,inconv,problematic,priority
pretentious,less_proper,complete,1,less_conv,convenient,slightly_prob,recommended
usual,proper,completed,2,less_conv,inconv,nonprob,recommended
pretentious,proper,complete,more,less_conv,convenient,nonprob,not_recom
usual,critical,completed,3,convenient,convenient,slightly_prob,priority
pretentious,very_crit,foster,3,critical,convenient,nonprob,not_recom
great_pret,critical,completed,1,convenient,convenient,problematic,not_recom
usual,less_proper,incomplete,more,less_conv,convenient,problematic,recommended
great_pret,proper,foster,2,less_conv,convenient,problematic,not_recom
great_pret,,complete,1,less_conv,inconv,problematic,recommended
great_pret,proper,foster,,convenient,inconv,problematic,priority
pretentious,very_crit,completed,2,convenient,inconv,nonprob,not_recom
great_pret,critical,foster,2,critical,convenient,slightly_prob,not_recom
pretentious,less_proper,foster,1,less_conv,convenient,nonprob,recommended
pretentious,critical,,3,critical,convenient,slightly_prob,not_recom
usual,critical,completed,3,critical,inconv,problematic,priority
great_pret,,completed,,critical,convenient,slightly_prob,recommended
usual,,foster,2,convenient,inconv,slightly_prob,recommended
great_pret,,foster,3,less_conv,convenient,nonprob,priority
great_pret,very_crit,foster,3,less_conv,convenient,nonprob,recommended
pretentious,proper,incomplete,,critical,inconv,slightly_prob,not_recom
pretentious,,foster,more,less_conv,inconv,nonprob,recommended
great_pret,less_proper,,3,convenient,convenient,problematic,recommended
usual,proper,incomplete,,convenient,convenient,slightly_prob,priority
usual,proper,foster,,convenient,convenient,slightly_prob,priority
pretentious,very_crit,complete,2,critical,inconv,problematic,recommended
pretentious,very_crit,foster,,critical,convenient,slightly_prob,recommended
usual,critical,,2,less_conv,convenient,problematic,priority
pretentious,proper,foster,3,less_conv,inconv,problematic,recommended
usual,critical,completed,more,convenient,convenient,nonprob,priority
pretentious,very_crit,,,critical,inconv,problematic,recommended
usual,improper,complete,,less_conv,inconv,slightly_prob,priority
pretentious,,complete,,critical,inconv,problematic,recommended
pretentious,critical,,2,critical,convenient,slightly_prob,priority
usual,less_proper,,2,less_conv,inconv,slightly_prob,recommended
pretentious,,foster,,less_conv,inconv,problematic,recommended
pretentious,improper,foster,3,convenient,convenient,problematic,not_recom
pretentious,very_crit,incomplete,2,critical,inconv,problematic,priority
pretentious,improper,foster,,less_conv,inconv,problematic,not_recom
great_pret,improper,complete,more,critical,convenient,problematic,recommended
pretentious,very_crit,foster,more,less_conv,convenient,slightly_prob,recommended
usual,,foster,3,critical,inconv,problematic,not_recom
usual,proper,complete,3,critical,inconv,problematic,not_recom
great_pret,critical,complete,1,less_conv,inconv,nonprob,recommended
pretentious,less_proper,,2,convenient,inconv,nonprob,not_recom
pretentious,,completed,1,convenient,convenient,nonprob,not_recom
pretentious,less_proper,completed,,less_conv,convenient,nonprob,not_recom
great_pret,less_proper,completed,2,less_conv,convenient,nonprob,priority
pretentious,proper,complete,1,critical,inconv,problematic,not_recom
usual,critical,foster,more,convenient,convenient,slightly_prob,not_recom
pretentious,critical,completed,more,less_conv,convenient,problematic,recommended
great_pret,proper,foster,more,convenient,inconv,problematic,recommended
pretentious,less_proper,completed,,less_conv,convenient,nonprob,priority
pretentious,critical,completed,,critical,convenient,slightly_prob,priority
usual,improper,,1,critical,convenient,slightly_prob,recommended
great_pret,critical,incomplete,2,critical,inconv,nonprob,priority
pretentious,very_crit,,more,less_conv,inconv,problematic,not_recom
usual,,foster,3,critical,inconv,problematic,recommended
usual,,,1,convenient,inconv,nonprob,priority
usual,very_crit,incomplete,1,critical,convenient,nonprob,not_recom
usual,less_proper,completed,1,critical,inconv,nonprob,recommended
pretentious,critical,,more,critical,inconv,problematic,recommended
pretentious,critical,,,critical,inconv,problematic,recommended
usual,,foster,3,critical,inconv,problematic,not_recom
pretentious,critical,foster,,convenient,inconv,problematic,not_recom
pretentious,very_crit,completed,3,less_conv,inconv,problematic,priority
usual,,,3,less_conv,convenient,nonprob,recommended
usual,critical,completed,1,convenient,convenient,nonprob,priority
usual,very_crit,foster,1,convenient,inconv,problematic,not_recom
pretentious,critical,completed,3,less_conv,inconv,slightly_prob,not_recom
usual,,foster,1,critical,inconv,slightly_prob,priority
usual,,complete,2,critical,inconv,slightly_prob,priority
pretentious,proper,complete,more,less_conv,inconv,nonprob,recommended
usual,critical,complete,,critical,convenient,nonprob,recommended
great_pret,proper,incomplete,,less_conv,inconv,problematic,priority
great_pret,improper,,more,convenient,inconv,slightly_prob,recommended
great_pret,proper,foster,3,convenient,inconv,nonprob,recommended
great_pret,very_crit,completed,,critical,convenient,slightly_prob,not_recom
pretentious,less_proper,foster,,critical,inconv,nonprob,recommended
pretentious,improper,complete,more,less_conv,inconv,problematic,recommended
pretentious,very_crit,complete,1,less_conv,inconv,slightly_prob,priority
pretentious,,complete,3,less_conv,inconv,nonprob,recommended
usual,proper,complete,more,convenient,inconv,nonprob,recommended
pretentious,less_proper,incomplete,,less_conv,convenient,slightly_prob,recommended
pretentious,very_crit,,more,convenient,inconv,slightly_prob,priority
pretentious,very_crit,foster,,convenient,convenient,slightly_prob,not_recom
usual,very_crit,,2,critical,convenient,nonprob,not_recom
great_pret,very_crit,incomplete,,critical,convenient,slightly_prob,recommended
pretentious,very_crit,incomplete,2,convenient,inconv,nonprob,recommended
pretentious,less_proper,,,convenient,inconv,nonprob,recommended
usual,critical,incomplete,more,convenient,inconv,slightly_prob,recommended
usual,less_proper,foster,,convenient,inconv,problematic,priority
great_pret,,incomplete,,critical,convenient,nonprob,not_recom
pretentious,critical,incomplete,3,convenient,convenient,slightly_prob,priority
great_pret,less_proper,incomplete,more,less_conv,inconv,slightly_prob,recommended
usual,proper,foster,more,critical,inconv,problematic,priority
great_pret,proper,,1,critical,convenient,nonprob,recommended
great_pret,very_crit,complete,more,critical,inconv,nonprob,not_recom
pretentious,very_crit,foster,,critical,inconv,problematic,not_recom
usual,less_proper,complete,2,less_conv,inconv,problematic,recommended
pretentious,less_proper,,2,convenient,inconv,nonprob,recommended
