parents,has_nurs,form,children,housing,finance,social,health
usual,very_crit,,2,convenient,inconv,problematic,not_recom
pretentious,very_crit,complete,3,critical,inconv,,not_recom
pretentious,proper,completed,1,less_conv,convenient,nonprob,priority
great_pret,,,2,critical,,slightly_prob,recommended
pretentious,less_proper,incomplete,1,convenient,convenient,problematic,recommended
pretentious,less_proper,foster,,less_conv,convenient,problematic,priority
,critical,complete,3,convenient,convenient,slightly_prob,recommended
,critical,completed,1,,,problematic,priority
pretentious,improper,complete,3,convenient,convenient,problematic,recommended
great_pret,critical,incomplete,,,convenient,problematic,priority
pretentious,,incomplete,1,convenient,convenient,problematic,priority
great_pret,proper,incomplete,3,,,slightly_prob,recommended
pretentious,improper,,1,less_conv,inconv,problematic,priority
,improper,incomplete,2,convenient,convenient,nonprob,
,very_crit,completed,3,critical,convenient,nonprob,recommended
usual,,completed,2,less_conv,convenient,nonprob,recommended
usual,very_crit,,3,less_conv,,problematic,recommended
,very_crit,complete,2,less_conv,convenient,problematic,not_recom
pretentious,proper,complete,2,critical,convenient,problematic,not_recom
pretentious,very_crit,completed,,convenient,convenient,nonprob,not_recom
great_pret,less_proper,foster,1,critical,inconv,problematic,not_recom
pretentious,,,,,convenient,nonprob,
usual,proper,foster,1,,inconv,,priority
great_pret,critical,,more,less_conv,,nonprob,not_recom
great_pret,,completed,,critical,,nonprob,priority
pretentious,,incomplete,3,critical,convenient,,not_recom
great_pret,,foster,1,critical,inconv,slightly_prob,priority
great_pret,very_crit,foster,,,inconv,problematic,recommended
pretentious,proper,,3,convenient,,,priority
pretentious,improper,foster,,convenient,inconv,problematic,not_recom
great_pret,less_proper,completed,3,critical,,slightly_prob,recommended
,very_crit,incomplete,2,convenient,convenient,slightly_prob,priority
,,complete,2,convenient,convenient,slightly_prob,not_recom
pretentious,proper,,,convenient,convenient,problematic,not_recom
great_pret,less_proper,incomplete,3,convenient,,,recommended
usual,very_crit,,,convenient,inconv,,not_recom
great_pret,proper,completed,more,convenient,convenient,problematic,
usual,proper,foster,,critical,inconv,slightly_prob,not_recom
usual,,incomplete,more,,convenient,slightly_prob,recommended
great_pret,very_crit,complete,more,convenient,inconv,nonprob,recommended
great_pret,very_crit,,more,critical,,slightly_prob,recommended
pretentious,improper,complete,3,less_conv,inconv,,priority
usual,,complete,3,convenient,convenient,,not_recom
great_pret,,foster,2,less_conv,inconv,problematic,priority
pretentious,critical,incomplete,3,,convenient,problematic,
usual,,complete,1,convenient,convenient,problematic,recommended
great_pret,critical,foster,2,critical,convenient,slightly_prob,not_recom
great_pret,improper,,3,critical,,slightly_prob,priority
usual,critical,,3,,inconv,nonprob,priority
great_pret,,incomplete,2,convenient,convenient,problematic,
pretentious,proper,,more,critical,inconv,problematic,recommended
pretentious,,complete,2,less_conv,convenient,nonprob,recommended
usual,very_crit,completed,3,convenient,inconv,problematic,priority
pretentious,critical,completed,3,less_conv,,slightly_prob,
pretentious,very_crit,foster,1,convenient,inconv,,
,,incomplete,,convenient,inconv,problematic,
pretentious,critical,incomplete,3,less_conv,inconv,nonprob,recommended
usual,critical,foster,2,convenient,inconv,,not_recom
great_pret,critical,incomplete,3,convenient,,problematic,not_recom
,critical,foster,more,convenient,inconv,problematic,priority
,critical,foster,3,convenient,,,not_recom
usual,less_proper,completed,3,,,problematic,not_recom
usual,less_proper,foster,1,critical,,,not_recom
pretentious,critical,foster,more,critical,inconv,nonprob,not_recom
pretentious,critical,,3,critical,convenient,nonprob,recommended
great_pret,critical,incomplete,2,less_conv,convenient,nonprob,
great_pret,very_crit,completed,more,critical,inconv,slightly_prob,
usual,critical,incomplete,3,critical,inconv,slightly_prob,recommended
pretentious,,,1,,,problematic,priority
great_pret,very_crit,foster,more,less_conv,inconv,nonprob,recommended
,less_proper,completed,3,critical,,nonprob,priority
great_pret,less_proper,incomplete,2,convenient,inconv,slightly_prob,priority
usual,critical,,3,convenient,convenient,slightly_prob,not_recom
pretentious,proper,incomplete,more,,inconv,problematic,
pretentious,improper,,,convenient,,nonprob,priority
usual,,complete,2,convenient,inconv,problematic,recommended
,proper,,3,critical,convenient,,
great_pret,less_proper,incomplete,2,convenient,,nonprob,not_recom
usual,,incomplete,1,,inconv,nonprob,not_recom
,proper,,more,less_conv,,slightly_prob,
,less_proper,incomplete,more,critical,inconv,slightly_prob,priority
usual,proper,foster,3,,inconv,nonprob,priority
usual,,complete,1,critical,inconv,problematic,priority
,,complete,1,less_conv,convenient,problematic,not_recom
pretentious,proper,incomplete,more,,,,
pretentious,critical,completed,,convenient,convenient,nonprob,not_recom
,,foster,more,convenient,inconv,problematic,not_recom
pretentious,less_proper,foster,,,convenient,slightly_prob,recommended
usual,improper,complete,3,convenient,,nonprob,recommended
great_pret,critical,,3,less_conv,convenient,problematic,recommended
pretentious,very_crit,completed,1,convenient,convenient,nonprob,recommended
usual,,foster,more,convenient,,problematic,not_recom
great_pret,less_proper,,1,critical,,problematic,recommended
,critical,foster,,critical,inconv,nonprob,priority
usual,improper,completed,1,less_conv,convenient,problematic,priority
great_pret,improper,incomplete,2,less_conv,convenient,slightly_prob,recommended
great_pret,,complete,1,convenient,convenient,nonprob,priority
pretentious,less_proper,,more,,convenient,nonprob,
usual,,completed,3,critical,convenient,,priority
,very_crit,foster,3,,,nonprob,not_recom
pretentious,,foster,2,less_conv,,,recommended
great_pret,very_crit,foster,2,less_conv,inconv,nonprob,not_recom
pretentious,,foster,more,convenient,inconv,nonprob,recommended
pretentious,critical,completed,,,,slightly_prob,priority
pretentious,critical,completed,1,convenient,convenient,problematic,priority
great_pret,less_proper,incomplete,,critical,inconv,slightly_prob,not_recom
great_pret,less_proper,completed,1,,,problematic,not_recom
great_pret,very_crit,complete,1,convenient,convenient,,priority
,critical,incomplete,,critical,inconv,nonprob,priority
pretentious,very_crit,incomplete,2,less_conv,inconv,problematic,not_recom
usual,,complete,,less_conv,,nonprob,not_recom
,proper,complete,more,less_conv,inconv,problematic,not_recom
great_pret,very_crit,foster,3,less_conv,,,not_recom
usual,less_proper,foster,more,less_conv,,problematic,recommended
pretentious,critical,completed,1,convenient,inconv,slightly_prob,priority
great_pret,less_proper,,3,convenient,inconv,problematic,priority
pretentious,less_proper,complete,2,,inconv,,
great_pret,very_crit,incomplete,more,less_conv,convenient,problematic,
great_pret,improper,foster,more,convenient,convenient,nonprob,priority
usual,,completed,1,critical,inconv,slightly_prob,priority
usual,,,more,,inconv,slightly_prob,
,very_crit,,3,less_conv,convenient,nonprob,not_recom
,very_crit,incomplete,,,convenient,nonprob,priority
great_pret,very_crit,incomplete,1,less_conv,convenient,problematic,
pretentious,very_crit,foster,,convenient,,problematic,not_recom
,proper,foster,1,convenient,convenient,,
pretentious,proper,completed,more,critical,inconv,nonprob,recommended
pretentious,very_crit,complete,1,,,slightly_prob,not_recom
usual,improper,complete,more,critical,convenient,slightly_prob,recommended
,critical,,3,less_conv,convenient,nonprob,
,proper,complete,more,less_conv,convenient,slightly_prob,not_recom
usual,proper,incomplete,2,convenient,inconv,slightly_prob,not_recom
usual,very_crit,complete,3,less_conv,inconv,nonprob,priority
,critical,complete,3,critical,convenient,problematic,recommended
great_pret,improper,complete,3,convenient,inconv,problematic,recommended
,,complete,2,critical,convenient,,priority
pretentious,critical,,more,less_conv,convenient,problematic,not_recom
usual,critical,incomplete,,less_conv,convenient,slightly_prob,recommended
usual,improper,,2,,,slightly_prob,not_recom
usual,less_proper,completed,1,critical,convenient,nonprob,recommended
great_pret,critical,complete,2,,inconv,problematic,recommended
great_pret,very_crit,foster,2,less_conv,,problematic,recommended
,proper,,2,,inconv,slightly_prob,
,very_crit,incomplete,2,,inconv,nonprob,priority
usual,proper,complete,more,convenient,inconv,problematic,not_recom
great_pret,less_proper,,1,critical,convenient,,
usual,proper,complete,,less_conv,convenient,nonprob,recommended
great_pret,,complete,3,critical,inconv,slightly_prob,not_recom
usual,very_crit,completed,1,less_conv,,problematic,recommended
,improper,foster,1,critical,inconv,problematic,priority
,proper,completed,3,less_conv,inconv,slightly_prob,priority
,critical,,3,less_conv,,slightly_prob,priority
usual,,completed,3,,inconv,problematic,recommended
,improper,incomplete,2,convenient,inconv,nonprob,recommended
pretentious,critical,complete,more,,convenient,problematic,priority
pretentious,very_crit,,,convenient,,slightly_prob,not_recom
pretentious,very_crit,,more,convenient,inconv,nonprob,not_recom
usual,critical,complete,3,critical,,slightly_prob,recommended
pretentious,,,2,critical,inconv,problematic,not_recom
usual,improper,foster,more,,,slightly_prob,
,critical,complete,3,convenient,convenient,nonprob,priority
pretentious,proper,completed,more,convenient,,problematic,priority
great_pret,,,more,,inconv,slightly_prob,priority
pretentious,,foster,2,critical,inconv,nonprob,
great_pret,very_crit,,3,convenient,,problematic,not_recom
,less_proper,complete,1,critical,inconv,problematic,
pretentious,proper,complete,2,less_conv,inconv,nonprob,priority
pretentious,critical,completed,1,critical,convenient,nonprob,not_recom
,proper,completed,,convenient,inconv,nonprob,priority
pretentious,proper,completed,2,less_conv,convenient,slightly_prob,recommended
pretentious,,foster,2,critical,convenient,problematic,priority
great_pret,,foster,1,less_conv,inconv,problematic,priority
usual,less_proper,complete,,critical,inconv,nonprob,not_recom
usual,,,3,,inconv,,priority
pretentious,critical,complete,2,,convenient,problematic,
usual,proper,incomplete,more,less_conv,inconv,nonprob,
usual,improper,foster,,convenient,inconv,nonprob,priority
,less_proper,complete,1,convenient,convenient,slightly_prob,not_recom
pretentious,improper,incomplete,3,critical,,,priority
usual,less_proper,foster,more,less_conv,convenient,nonprob,priority
,very_crit,completed,,less_conv,inconv,slightly_prob,priority
pretentious,critical,complete,3,,inconv,slightly_prob,priority
pretentious,proper,foster,1,critical,inconv,,priority
,less_proper,foster,3,less_conv,inconv,slightly_prob,
pretentious,improper,foster,more,less_conv,convenient,problematic,not_recom
great_pret,proper,complete,more,less_conv,convenient,slightly_prob,not_recom
pretentious,,foster,2,critical,convenient,slightly_prob,not_recom
,improper,,2,,inconv,,not_recom
usual,very_crit,foster,2,critical,convenient,slightly_prob,priority
usual,very_crit,foster,2,less_conv,convenient,slightly_prob,priority
pretentious,critical,foster,more,critical,convenient,problematic,recommended
pretentious,critical,,3,,,nonprob,not_recom
usual,proper,incomplete,3,,convenient,slightly_prob,priority
,proper,,,convenient,,problematic,recommended
,improper,completed,1,critical,inconv,slightly_prob,recommended
,improper,incomplete,1,critical,convenient,nonprob,
usual,proper,,more,critical,inconv,nonprob,not_recom
,very_crit,completed,more,critical,convenient,problematic,not_recom
great_pret,less_proper,completed,2,,convenient,problematic,not_recom
usual,,complete,more,convenient,inconv,nonprob,recommended
great_pret,,complete,more,less_conv,,slightly_prob,recommended
usual,less_proper,foster,more,less_conv,inconv,problematic,
usual,improper,foster,1,critical,inconv,problematic,priority
,proper,incomplete,2,,inconv,problematic,
pretentious,improper,incomplete,more,critical,inconv,slightly_prob,
,less_proper,foster,more,,,,recommended
,less_proper,foster,3,,convenient,,priority
pretentious,critical,foster,3,,inconv,slightly_prob,
usual,improper,completed,1,critical,inconv,problematic,not_recom
usual,critical,,2,critical,,problematic,recommended
pretentious,critical,,more,convenient,,,priority
pretentious,very_crit,completed,more,critical,inconv,nonprob,recommended
usual,very_crit,completed,2,,inconv,nonprob,not_recom
pretentious,less_proper,,1,less_conv,convenient,nonprob,not_recom
,critical,complete,more,critical,convenient,problematic,recommended
usual,critical,complete,1,convenient,convenient,,priority
,very_crit,,1,less_conv,convenient,slightly_prob,not_recom
usual,critical,completed,3,less_conv,,nonprob,not_recom
great_pret,critical,completed,more,less_conv,convenient,nonprob,
pretentious,critical,complete,1,convenient,convenient,problematic,recommended
great_pret,less_proper,incomplete,3,,convenient,,priority
,very_crit,foster,,convenient,inconv,,recommended
usual,,completed,2,less_conv,convenient,nonprob,
great_pret,,incomplete,3,,convenient,,not_recom
,very_crit,foster,3,convenient,inconv,,not_recom
great_pret,proper,,more,less_conv,convenient,problematic,priority
usual,,foster,2,less_conv,inconv,slightly_prob,priority
pretentious,critical,completed,2,convenient,,slightly_prob,recommended
,critical,,more,,convenient,nonprob,priority
,less_proper,complete,more,less_conv,inconv,problematic,
,improper,foster,2,convenient,inconv,slightly_prob,
pretentious,proper,foster,,less_conv,,nonprob,priority
pretentious,very_crit,foster,,critical,inconv,problematic,not_recom
usual,very_crit,,1,critical,convenient,slightly_prob,recommended
,very_crit,,more,convenient,convenient,problematic,not_recom
great_pret,,completed,3,less_conv,inconv,problematic,priority
pretentious,proper,incomplete,more,less_conv,convenient,problematic,
usual,,foster,2,convenient,inconv,slightly_prob,
great_pret,very_crit,incomplete,2,critical,inconv,,not_recom
,,completed,2,critical,,slightly_prob,recommended
usual,critical,,3,,,slightly_prob,recommended
pretentious,improper,,3,less_conv,convenient,,recommended
great_pret,proper,foster,1,critical,convenient,slightly_prob,recommended
great_pret,very_crit,,,less_conv,inconv,,priority
pretentious,less_proper,incomplete,more,less_conv,convenient,nonprob,
pretentious,proper,foster,more,convenient,inconv,problematic,priority
great_pret,less_proper,complete,1,less_conv,inconv,slightly_prob,priority
great_pret,proper,complete,,critical,inconv,nonprob,recommended
great_pret,,,,convenient,inconv,nonprob,recommended
usual,proper,completed,1,critical,convenient,,recommended
usual,,completed,2,,,slightly_prob,recommended
,critical,complete,,critical,convenient,,recommended
pretentious,less_proper,foster,2,,,nonprob,priority
great_pret,critical,completed,3,,,,recommended
great_pret,proper,foster,3,,inconv,slightly_prob,not_recom
pretentious,,foster,,,convenient,,recommended
great_pret,proper,completed,1,less_conv,inconv,problematic,recommended
,,,more,less_conv,convenient,problematic,
usual,critical,,more,convenient,inconv,,priority
great_pret,critical,complete,,,inconv,nonprob,not_recom
,proper,,more,less_conv,convenient,nonprob,
,,complete,,less_conv,convenient,,priority
,less_proper,incomplete,1,critical,convenient,problematic,
pretentious,proper,incomplete,,less_conv,,slightly_prob,not_recom
usual,less_proper,,2,,convenient,problematic,not_recom
,improper,complete,1,critical,inconv,slightly_prob,not_recom
usual,less_proper,complete,3,,convenient,slightly_prob,
usual,critical,complete,,critical,,problematic,recommended
pretentious,proper,foster,1,less_conv,convenient,,priority
usual,,incomplete,,critical,convenient,problematic,not_recom
,,incomplete,1,critical,,,recommended
great_pret,,foster,more,convenient,,nonprob,
great_pret,improper,complete,1,critical,,nonprob,recommended
great_pret,improper,complete,3,,inconv,slightly_prob,priority
,critical,completed,more,critical,,slightly_prob,
great_pret,,completed,more,,convenient,slightly_prob,priority
,improper,completed,,critical,convenient,nonprob,
pretentious,,complete,1,critical,inconv,,priority
pretentious,critical,complete,1,convenient,,,recommended
,improper,,3,convenient,convenient,,recommended
usual,,,,,inconv,problematic,recommended
,,completed,,less_conv,convenient,problematic,recommended
,improper,completed,,critical,convenient,problematic,not_recom
usual,critical,foster,3,,convenient,slightly_prob,recommended
pretentious,proper,complete,3,,,problematic,priority
usual,critical,incomplete,3,,convenient,problematic,not_recom
usual,proper,incomplete,1,critical,,slightly_prob,not_recom
,,foster,3,,inconv,nonprob,recommended
,improper,completed,2,,convenient,nonprob,recommended
pretentious,proper,foster,1,convenient,,,not_recom
usual,very_crit,,2,,inconv,problematic,recommended
usual,improper,completed,1,convenient,inconv,,
great_pret,very_crit,completed,more,convenient,,problematic,priority
pretentious,less_proper,completed,,convenient,convenient,,not_recom
pretentious,very_crit,complete,3,critical,convenient,slightly_prob,recommended
usual,,,more,,convenient,,recommended
pretentious,proper,incomplete,2,critical,inconv,problematic,not_recom
great_pret,,completed,more,critical,,problematic,priority
usual,very_crit,foster,2,convenient,,problematic,priority
pretentious,,,,critical,convenient,nonprob,priority
great_pret,improper,complete,3,,,nonprob,recommended
usual,,complete,,critical,,problematic,
great_pret,improper,complete,2,less_conv,convenient,slightly_prob,priority
great_pret,less_proper,incomplete,2,less_conv,inconv,nonprob,not_recom
,improper,,more,,convenient,nonprob,
great_pret,critical,completed,3,,convenient,problematic,
usual,improper,completed,3,,convenient,problematic,
great_pret,,,1,critical,inconv,,priority
pretentious,less_proper,complete,1,less_conv,convenient,slightly_prob,recommended
usual,proper,completed,2,less_conv,,nonprob,recommended
pretentious,proper,complete,more,less_conv,convenient,nonprob,not_recom
usual,critical,completed,3,convenient,convenient,slightly_prob,priority
,very_crit,foster,3,,convenient,nonprob,not_recom
,critical,completed,1,convenient,,problematic,not_recom
usual,less_proper,incomplete,more,less_conv,convenient,problematic,recommended
great_pret,proper,foster,2,less_conv,convenient,problematic,not_recom
,,complete,1,,inconv,,
,proper,foster,,convenient,,,priority
pretentious,very_crit,completed,2,convenient,inconv,nonprob,not_recom
great_pret,critical,foster,2,,convenient,slightly_prob,not_recom
pretentious,less_proper,foster,1,less_conv,convenient,nonprob,
,critical,,3,critical,convenient,slightly_prob,
usual,critical,completed,3,critical,,,priority
great_pret,,completed,,,convenient,slightly_prob,recommended
usual,,foster,2,convenient,inconv,slightly_prob,recommended
great_pret,,foster,3,less_conv,convenient,nonprob,priority
great_pret,very_crit,foster,3,less_conv,convenient,nonprob,recommended
pretentious,proper,incomplete,,,inconv,slightly_prob,not_recom
pretentious,,foster,more,,inconv,nonprob,
great_pret,less_proper,,3,convenient,convenient,problematic,
usual,proper,incomplete,,convenient,convenient,slightly_prob,priority
usual,proper,foster,,convenient,convenient,slightly_prob,priority
,very_crit,complete,2,critical,inconv,,recommended
,very_crit,foster,,critical,convenient,slightly_prob,recommended
usual,critical,,2,less_conv,convenient,,priority
pretentious,proper,foster,3,,inconv,problematic,
usual,critical,completed,more,convenient,convenient,nonprob,priority
,very_crit,,,critical,inconv,,recommended
usual,improper,complete,,less_conv,inconv,slightly_prob,priority
pretentious,,complete,,,inconv,,recommended
pretentious,critical,,2,critical,,slightly_prob,priority
usual,less_proper,,2,,inconv,slightly_prob,recommended
pretentious,,foster,,less_conv,inconv,,
pretentious,improper,foster,3,convenient,convenient,problematic,not_recom
pretentious,very_crit,incomplete,2,,,problematic,priority
pretentious,improper,foster,,less_conv,,problematic,not_recom
great_pret,improper,complete,more,critical,convenient,,recommended
pretentious,very_crit,foster,more,less_conv,,slightly_prob,
,,foster,3,critical,inconv,problematic,not_recom
usual,proper,complete,3,,inconv,,not_recom
great_pret,critical,complete,1,,inconv,nonprob,recommended
,less_proper,,2,convenient,inconv,nonprob,not_recom
pretentious,,completed,1,convenient,convenient,nonprob,not_recom
pretentious,less_proper,completed,,less_conv,convenient,nonprob,not_recom
,less_proper,completed,2,,convenient,nonprob,priority
pretentious,proper,complete,1,critical,inconv,,not_recom
usual,critical,foster,more,convenient,convenient,slightly_prob,not_recom
pretentious,critical,completed,more,less_conv,convenient,,
,proper,foster,more,convenient,inconv,,
pretentious,less_proper,completed,,less_conv,convenient,nonprob,priority
,critical,completed,,critical,convenient,slightly_prob,priority
usual,improper,,1,critical,,slightly_prob,recommended
great_pret,critical,incomplete,2,critical,inconv,nonprob,priority
,very_crit,,more,less_conv,inconv,problematic,not_recom
,,foster,3,critical,inconv,problematic,recommended
usual,,,1,convenient,inconv,nonprob,priority
usual,very_crit,incomplete,1,critical,,nonprob,not_recom
usual,less_proper,completed,1,critical,inconv,nonprob,recommended
pretentious,critical,,more,critical,inconv,,recommended
,critical,,,,inconv,,recommended
usual,,foster,3,,inconv,problematic,not_recom
pretentious,critical,foster,,convenient,inconv,,not_recom
pretentious,very_crit,completed,3,less_conv,inconv,,priority
usual,,,3,,convenient,nonprob,recommended
usual,critical,completed,1,convenient,convenient,nonprob,priority
usual,very_crit,foster,1,convenient,,,not_recom
pretentious,critical,completed,3,,inconv,,not_recom
usual,,foster,1,critical,inconv,slightly_prob,priority
usual,,complete,2,critical,inconv,slightly_prob,priority
pretentious,proper,complete,more,less_conv,,nonprob,recommended
usual,critical,complete,,critical,convenient,nonprob,recommended
great_pret,proper,incomplete,,less_conv,,problematic,priority
great_pret,improper,,more,convenient,inconv,slightly_prob,recommended
,proper,foster,3,convenient,inconv,nonprob,
great_pret,very_crit,completed,,,convenient,slightly_prob,not_recom
,less_proper,foster,,,inconv,nonprob,
,improper,complete,more,less_conv,inconv,problematic,recommended
pretentious,very_crit,complete,1,less_conv,inconv,slightly_prob,priority
pretentious,,complete,3,,inconv,nonprob,
usual,proper,complete,more,convenient,inconv,nonprob,recommended
,less_proper,incomplete,,less_conv,,slightly_prob,recommended
pretentious,very_crit,,more,convenient,inconv,slightly_prob,priority
,very_crit,foster,,convenient,convenient,slightly_prob,not_recom
usual,very_crit,,2,critical,convenient,nonprob,
great_pret,very_crit,incomplete,,,,slightly_prob,
pretentious,very_crit,incomplete,2,convenient,inconv,nonprob,recommended
pretentious,less_proper,,,convenient,inconv,nonprob,recommended
usual,critical,incomplete,more,convenient,inconv,slightly_prob,
usual,less_proper,foster,,convenient,,problematic,priority
great_pret,,incomplete,,,convenient,nonprob,not_recom
,critical,incomplete,3,convenient,,slightly_prob,priority
great_pret,less_proper,incomplete,more,less_conv,inconv,slightly_prob,recommended
usual,proper,foster,more,,,,priority
great_pret,proper,,1,critical,convenient,nonprob,recommended
great_pret,very_crit,complete,more,critical,inconv,nonprob,not_recom
,very_crit,foster,,critical,inconv,,not_recom
usual,less_proper,complete,2,less_conv,,problematic,recommended
,less_proper,,2,convenient,inconv,nonprob,recommended
,very_crit,,,convenient,inconv,nonprob,recommended
great_pret,less_proper,incomplete,more,critical,,problematic,recommended
usual,critical,foster,more,critical,convenient,,
great_pret,very_crit,complete,3,convenient,convenient,slightly_prob,not_recom
great_pret,proper,completed,more,less_conv,convenient,slightly_prob,priority
,improper,complete,2,convenient,inconv,slightly_prob,recommended
great_pret,improper,,1,convenient,inconv,problematic,priority
,very_crit,foster,3,less_conv,inconv,,recommended
great_pret,proper,foster,1,,inconv,,recommended
great_pret,very_crit,incomplete,,critical,convenient,nonprob,recommended
pretentious,,completed,1,less_conv,convenient,,not_recom
pretentious,improper,,,,,nonprob,priority
usual,very_crit,complete,3,less_conv,inconv,slightly_prob,
pretentious,proper,,2,convenient,,,recommended
pretentious,improper,,,less_conv,inconv,nonprob,not_recom
usual,very_crit,completed,1,,inconv,problematic,
usual,very_crit,,2,less_conv,convenient,problematic,recommended
,improper,,,,inconv,problematic,not_recom
usual,less_proper,complete,more,,convenient,slightly_prob,priority
great_pret,critical,incomplete,1,convenient,inconv,,
usual,,incomplete,3,convenient,,problematic,priority
pretentious,improper,,3,,inconv,problematic,recommended
usual,improper,completed,2,convenient,convenient,problematic,recommended
usual,critical,incomplete,more,,,nonprob,
pretentious,proper,completed,2,convenient,convenient,slightly_prob,not_recom
great_pret,less_proper,,,convenient,convenient,,priority
great_pret,improper,complete,1,,inconv,problematic,recommended
pretentious,improper,completed,2,critical,inconv,slightly_prob,not_recom
great_pret,improper,,more,critical,inconv,,
,critical,foster,more,,,nonprob,priority
usual,less_proper,complete,1,less_conv,,,priority
usual,,complete,3,less_conv,,nonprob,not_recom
great_pret,critical,foster,1,less_conv,convenient,problematic,recommended
pretentious,improper,foster,2,,inconv,,priority
usual,improper,foster,3,,convenient,slightly_prob,
,proper,complete,,critical,,slightly_prob,not_recom
great_pret,proper,completed,2,less_conv,,nonprob,priority
,very_crit,,more,critical,inconv,slightly_prob,priority
great_pret,proper,foster,3,less_conv,inconv,slightly_prob,not_recom
usual,very_crit,completed,2,convenient,inconv,slightly_prob,recommended
pretentious,proper,foster,,less_conv,convenient,slightly_prob,recommended
great_pret,very_crit,,3,convenient,inconv,slightly_prob,recommended
great_pret,,completed,2,,inconv,,
great_pret,critical,complete,more,,,slightly_prob,
,,foster,,critical,,,recommended
pretentious,less_proper,,more,less_conv,inconv,nonprob,not_recom
,improper,incomplete,3,convenient,,slightly_prob,priority
great_pret,critical,complete,2,critical,,slightly_prob,
great_pret,,incomplete,3,less_conv,inconv,problematic,not_recom
pretentious,less_proper,complete,2,critical,inconv,slightly_prob,recommended
,proper,complete,3,,convenient,slightly_prob,recommended
usual,,incomplete,3,less_conv,convenient,problematic,priority
usual,less_proper,foster,3,,convenient,slightly_prob,recommended
pretentious,proper,completed,2,,inconv,,priority
pretentious,very_crit,,2,less_conv,convenient,nonprob,priority
usual,,completed,,,convenient,,priority
,improper,completed,1,critical,convenient,nonprob,recommended
usual,proper,completed,3,critical,convenient,slightly_prob,priority
,very_crit,,1,convenient,inconv,nonprob,priority
pretentious,critical,,more,convenient,,slightly_prob,recommended
great_pret,critical,,,convenient,convenient,problematic,priority
great_pret,very_crit,,2,critical,inconv,problematic,priority
usual,less_proper,foster,2,less_conv,convenient,nonprob,
